Year,TeamID,Park_ID,GP,HR_Home,HR_Away,AB_Home,Doubles_Home,Triples_Home,AB_Away,Doubles_Away,Triples_Away
1906,BOS,BOS06,77,10,21,2546,78,42,2658,77,60
1906,CHA,CHI09,79,2,1,2424,76,20,2628,109,17
1906,CLE,CLE05,79,3,8,2653,123,47,2613,98,29
1906,DET,DET02,78,4,5,2525,61,48,2683,89,42
1906,NYA,NYC13,76,14,8,2518,99,65,2621,77,39
1906,PHA,PHI10,73,21,4,2311,103,15,2381,87,16
1906,SLA,STL06,76,13,11,2420,66,23,2504,93,17
1906,WS1,WAS08,75,7,5,2392,78,33,2547,84,36
1906,BRO,NYC12,76,9,5,2347,62,27,2499,80,23
1906,BSN,BOS05,76,11,16,2429,73,20,2517,75,22
1906,CHN,CHI08,79,7,6,2488,100,33,2564,69,23
1906,CIN,CIN06,78,10,10,2499,77,50,2581,92,41
1906,NY1,NYC10,74,9,8,2206,74,25,2436,95,28
1906,PHI,PHI09,77,2,5,2377,94,14,2527,80,21
1906,PIT,PIT05,77,4,8,2468,86,38,2566,78,37
1906,SLN,STL05,77,5,9,2565,62,36,2591,59,52
1907,BOS,BOS06,78,12,11,2588,60,32,2639,73,33
1907,CHA,CHI09,79,0,4,2481,83,17,2637,67,18
1907,CLE,CLE05,82,6,5,2576,100,32,2685,67,23
1907,DET,DET02,79,3,3,2630,86,50,2661,71,31
1907,NYA,NYC13,75,10,7,2474,82,42,2625,84,49
1907,PHA,PHI10,73,14,7,2399,142,20,2504,113,16
1907,SLA,STL06,76,6,11,2529,88,23,2562,88,16
1907,WS1,WAS08,75,2,3,2429,63,32,2588,85,37
1907,BRO,NYC12,77,9,10,2383,75,31,2506,80,27
1907,BSN,BOS05,74,14,20,2417,59,30,2490,75,26
1907,CHN,CHI08,76,2,5,2343,80,22,2442,49,19
1907,CIN,CIN06,81,3,5,2491,62,48,2596,66,34
1907,NY1,NYC10,77,19,19,2349,82,21,2587,71,36
1907,PHI,PHI09,75,2,4,2331,104,33,2456,78,20
1907,PIT,PIT05,77,7,3,2399,72,45,2533,81,47
1907,SLN,STL05,79,8,10,2477,60,31,2561,54,36
