parkID,NAME,Year,CF_Dim
LON01,Olympic Stadium,2019,385
OMA01,TD Ameritrade Park,2019,408
SJU01,Estadio Hiram Bithorn,2019,404
MNT01,Estadio Monterrey,2019,400
ANA01,Angel Stadium of Anaheim,2019,400
ARL02,Globe Life Park,2019,400
ATL03,SunTrust Park,2019,400
BAL12,Oriole Park at Camden Yards,2019,400
BOS07,Fenway Park,2019,390
CHI11,Wrigley Field,2019,400
CHI12,Guarantee Rate Park,2019,400
CIN09,Great American Ballpark,2019,404
CLE08,Progressive Field,2019,405
DEN02,Coors Field,2019,415
DET05,Comerica Park,2019,420
HOU03,Minute Maid Park,2019,409
KAN06,Kauffman Stadium,2019,410
LOS03,Dodger Stadium,2019,400
MIA02,Marlins Park,2019,407
MIL06,Miller Park,2019,400
MIN04,Target Field,2019,404
NYC20,Citi Field,2019,408
NYC21,New Yankee Stadium,2019,408
OAK01,RingCentral Coliseum,2019,400
PHI13,Citizens Bank Park,2019,401
PHO01,Chase Field,2019,407
PIT08,PNC Park,2019,399
SAN02,Petco Park,2019,396
SEA03,T-Mobile Park,2019,401
SFO03,Oracle Park,2019,399
STL10,Busch Stadium III,2019,400
STP01,Tropicana Field,2019,404
TOR02,Rogers Centre,2019,400
WAS11,Nationals Park,2019,402
SJU01,Estadio Hiram Bithorn,2018,404
MNT01,Estadio Monterrey,2018,400
ANA01,Angel Stadium of Anaheim,2018,400
ARL02,Globe Life Park,2018,400
ATL03,SunTrust Park,2018,400
BAL12,Oriole Park at Camden Yards,2018,400
BOS07,Fenway Park,2018,390
CHI11,Wrigley Field,2018,400
CHI12,Guarantee Rate Park,2018,400
CIN09,Great American Ballpark,2018,404
CLE08,Progressive Field,2018,405
DEN02,Coors Field,2018,415
DET05,Comerica Park,2018,420
HOU03,Minute Maid Park,2018,409
KAN06,Kauffman Stadium,2018,410
LOS03,Dodger Stadium,2018,400
MIA02,Marlins Park,2018,407
MIL06,Miller Park,2018,400
MIN04,Target Field,2018,404
NYC20,Citi Field,2018,408
NYC21,New Yankee Stadium,2018,408
OAK01,Oakland Coliseum,2018,400
PHI13,Citizens Bank Park,2018,401
PHO01,Chase Field,2018,407
PIT08,PNC Park,2018,399
SAN02,Petco Park,2018,396
SEA03,Safeco Field,2018,401
SFO03,AT&T Park,2018,399
STL10,Busch Stadium III,2018,400
STP01,Tropicana Field,2018,404
TOR02,Rogers Centre,2018,400
WAS11,Nationals Park,2018,402
WIL02,Bowman Field,2018,411
ANA01,Angel Stadium of Anaheim,2017,400
ARL02,Globe Life Park,2017,400
ATL03,SunTrust Park,2017,400
BAL12,Oriole Park at Camden Yards,2017,400
BOS07,Fenway Park,2017,390
CHI11,Wrigley Field,2017,400
CHI12,Guarantee Rate Park,2017,400
CIN09,Great American Ballpark,2017,404
CLE08,Progressive Field,2017,405
DEN02,Coors Field,2017,415
DET05,Comerica Park,2017,420
HOU03,Minute Maid Park,2017,409
KAN06,Kauffman Stadium,2017,410
LOS03,Dodger Stadium,2017,400
MIA02,Marlins Park,2017,407
MIL06,Miller Park,2017,400
MIN04,Target Field,2017,404
NYC20,Citi Field,2017,408
NYC21,New Yankee Stadium,2017,408
OAK01,Oakland Coliseum,2017,400
PHI13,Citizens Bank Park,2017,401
PHO01,Chase Field,2017,407
PIT08,PNC Park,2017,399
SAN02,Petco Park,2017,396
SEA03,Safeco Field,2017,401
SFO03,AT&T Park,2017,399
STL10,Busch Stadium III,2017,400
STP01,Tropicana Field,2017,404
TOR02,Rogers Centre,2017,400
WAS11,Nationals Park,2017,402
WIL02,Bowman Field,2017,411
ANA01,Angel Stadium of Anaheim,2016,400
ARL02,Globe Life Park,2016,400
ATL02,Turner Field,2016,401
BAL12,Oriole Park at Camden Yards,2016,400
BOS07,Fenway Park,2016,390
CHI11,Wrigley Field,2016,400
CHI12,Guarantee Rate Field,2016,400
CIN09,Great American Ballpark,2016,404
CLE08,Progressive Field,2016,405
DEN02,Coors Field,2016,415
DET05,Comerica Park,2016,420
FTB01,Fort Bragg Field,2016,405
HOU03,Minute Maid Park,2016,436
KAN06,Kauffman Stadium,2016,410
LOS03,Dodger Stadium,2016,400
MIA02,Marlins Park,2016,407
MIL06,Miller Park,2016,400
MIN04,Target Field,2016,404
NYC20,Citi Field,2016,408
NYC21,New Yankee Stadium,2016,408
OAK01,Oakland Coliseum,2016,400
PHI13,Citizens Bank Park,2016,401
PHO01,Chase Field,2016,407
PIT08,PNC Park,2016,399
SAN02,Petco Park,2016,396
SEA03,Safeco Field,2016,401
SFO03,AT&T Park,2016,399
STL10,Busch Stadium III,2016,400
STP01,Tropicana Field,2016,404
TOR02,Rogers Centre,2016,400
WAS11,Nationals Park,2016,402
ANA01,Angel Stadium of Anaheim,2015,400
ARL02,Globe Life Park,2015,400
ATL02,Turner Field,2015,401
BAL12,Oriole Park at Camden Yards,2015,400
BOS07,Fenway Park,2015,390
CHI11,Wrigley Field,2015,400
CHI12,U.S. Cellular Field,2015,400
CIN09,Great American Ballpark,2015,404
CLE08,Progressive Field,2015,405
DEN02,Coors Field,2015,415
DET05,Comerica Park,2015,420
HOU03,Minute Maid Park,2015,436
KAN06,Kauffman Stadium,2015,410
LOS03,Dodger Stadium,2015,400
MIA02,Marlins Park,2015,418
MIL06,Miller Park,2015,400
MIN04,Target Field,2015,404
NYC20,Citi Field,2015,408
NYC21,New Yankee Stadium,2015,408
OAK01,Oakland-Alameda County Coliseum,2015,400
PHI13,Citizens Bank Park,2015,401
PHO01,Chase Field,2015,407
PIT08,PNC Park,2015,399
SAN02,Petco Park,2015,396
SEA03,Safeco Field,2015,401
SFO03,AT&T Park,2015,399
STL10,Busch Stadium III,2015,400
STP01,Tropicana Field,2015,404
TOR02,Rogers Centre,2015,400
WAS11,Nationals Park,2015,402
ANA01,Angel Stadium of Anaheim,2014,400
ARL02,Globe Life Park,2014,400
ATL02,Turner Field,2014,401
BAL12,Oriole Park at Camden Yards,2014,400
BOS07,Fenway Park,2014,390
CHI11,Wrigley Field,2014,400
CHI12,U.S. Cellular Field,2014,400
CIN09,Great American Ballpark,2014,404
CLE08,Progressive Field,2014,405
DEN02,Coors Field,2014,415
DET05,Comerica Park,2014,420
HOU03,Minute Maid Park,2014,436
KAN06,Kauffman Stadium,2014,410
LOS03,Dodger Stadium,2014,400
MIA02,Marlins Park,2014,418
MIL06,Miller Park,2014,400
MIN04,Target Field,2014,404
NYC20,Citi Field,2014,408
NYC21,New Yankee Stadium,2014,408
OAK01,Oakland-Alameda County Coliseum,2014,400
PHI13,Citizens Bank Park,2014,401
PHO01,Chase Field,2014,407
PIT08,PNC Park,2014,399
SAN02,Petco Park,2014,396
SEA03,Safeco Field,2014,401
SFO03,AT&T Park,2014,399
STL10,Busch Stadium III,2014,400
STP01,Tropicana Field,2014,404
SYD01,Sydney Cricket Ground,2014,400
TOR02,Rogers Centre,2014,400
WAS11,Nationals Park,2014,402
ANA01,Angel Stadium of Anaheim,2013,400
ARL02,Rangers Ballpark in Arlington,2013,400
ATL02,Turner Field,2013,401
BAL12,Oriole Park at Camden Yards,2013,400
BOS07,Fenway Park,2013,390
CHI11,Wrigley Field,2013,400
CHI12,U.S. Cellular Field,2013,400
CIN09,Great American Ballpark,2013,404
CLE08,Progressive Field,2013,405
DEN02,Coors Field,2013,415
DET05,Comerica Park,2013,420
HOU03,Minute Maid Park,2013,436
KAN06,Kauffman Stadium,2013,410
LOS03,Dodger Stadium,2013,400
MIA02,Marlins Park,2013,415
MIL06,Miller Park,2013,400
MIN04,Target Field,2013,404
NYC20,Citi Field,2013,408
NYC21,New Yankee Stadium,2013,408
OAK01,Oakland-Alameda County Coliseum,2013,400
PHI13,Citizens Bank Park,2013,401
PHO01,Chase Field,2013,407
PIT08,PNC Park,2013,399
SAN02,Petco Park,2013,396
SEA03,Safeco Field,2013,401
SFO03,AT&T Park,2013,399
STL10,Busch Stadium III,2013,400
STP01,Tropicana Field,2013,404
TOR02,Rogers Centre,2013,400
WAS11,Nationals Park,2013,402
ANA01,Angel Stadium of Anaheim,2012,400
ARL02,Rangers Ballpark in Arlington,2012,400
ATL02,Turner Field,2012,401
BAL12,Oriole Park at Camden Yards,2012,400
BOS07,Fenway Park,2012,390
CHI11,Wrigley Field,2012,400
CHI12,U.S. Cellular Field,2012,400
CIN09,Great American Ballpark,2012,404
CLE08,Progressive Field,2012,405
DEN02,Coors Field,2012,415
DET05,Comerica Park,2012,420
HOU03,Minute Maid Park,2012,436
KAN06,Kauffman Stadium,2012,410
LOS03,Dodger Stadium,2012,400
MIA02,Marlins Park,2012,415
MIL06,Miller Park,2012,400
MIN04,Target Field,2012,404
NYC20,Citi Field,2012,408
NYC21,New Yankee Stadium,2012,408
OAK01,Oakland-Alameda County Coliseum,2012,400
PHI13,Citizens Bank Park,2012,401
PHO01,Chase Field,2012,407
PIT08,PNC Park,2012,399
SAN02,Petco Park,2012,396
SEA03,Safeco Field,2012,405
SFO03,AT&T Park,2012,399
STL10,Busch Stadium III,2012,400
STP01,Tropicana Field,2012,404
TOR02,Rogers Centre,2012,400
WAS11,Nationals Park,2012,402
ANA01,Angel Stadium of Anaheim,2011,400
ARL02,Rangers Ballpark in Arlington,2011,400
ATL02,Turner Field,2011,401
BAL12,Oriole Park at Camden Yards,2011,400
BOS07,Fenway Park,2011,390
CHI11,Wrigley Field,2011,400
CHI12,U.S. Cellular Field,2011,400
CIN09,Great American Ballpark,2011,404
CLE08,Progressive Field,2011,405
DEN02,Coors Field,2011,415
DET05,Comerica Park,2011,420
HOU03,Minute Maid Park,2011,436
KAN06,Kauffman Stadium,2011,410
LOS03,Dodger Stadium,2011,400
MIA01,Sun Life Stadium,2011,404
MIL06,Miller Park,2011,400
MIN04,Target Field,2011,404
