"","Year","TeamID","LgID","GP_H","HR_Off_H","AB_Off_H","H_Off_H","D_Off_H","T_Off_H","GP_A","HR_Off_A","AB_Off_A","H_Off_A","D_Off_A","T_Off_A"
"1",1906,"BOS","AL",77,10,2546,590,78,42,78,3,2644,634,91,34
"2",1906,"BRO","NL",76,9,2347,521,62,27,77,16,2550,635,79,41
"3",1906,"BSN","NL",76,11,2429,555,73,20,76,5,2497,558,64,23
"4",1906,"CHA","AL",79,2,2424,551,76,20,75,5,2488,578,85,31
"5",1906,"CHN","NL",79,7,2488,629,100,33,75,13,2531,690,81,39
"6",1906,"CIN","NL",78,10,2499,639,77,50,77,6,2525,559,63,21
"7",1906,"CLE","AL",79,3,2653,801,123,47,78,9,2766,710,109,30
"8",1906,"DET","AL",78,4,2525,652,61,48,73,6,2417,544,93,23
"9",1906,"NY1","NL",74,9,2206,596,74,25,78,5,2572,620,86,28
"10",1906,"NYA","AL",76,14,2518,717,99,65,79,3,2574,639,72,28
"11",1906,"PHA","AL",73,21,2311,585,103,15,76,11,2563,620,108,36
"12",1906,"PHI","NL",77,2,2377,561,94,14,77,10,2532,624,103,33
"13",1906,"PIT","NL",77,4,2468,654,86,38,77,8,2564,659,77,29
"14",1906,"SLA","AL",76,13,2420,602,66,23,78,7,2620,646,82,39
"15",1906,"SLN","NL",77,5,2565,637,62,36,77,4,2510,557,75,33
"16",1906,"WS1","AL",75,7,2392,580,78,33,76,19,2563,603,74,35
"17",1907,"BOS","AL",78,12,2588,626,60,32,77,6,2665,600,97,20
"18",1907,"BRO","NL",77,9,2383,580,75,31,76,9,2509,555,67,33
"19",1907,"BSN","NL",74,14,2417,590,59,30,78,8,2613,631,83,31
"20",1907,"CHA","AL",79,0,2481,597,83,17,78,5,2612,617,76,20
"21",1907,"CHN","NL",76,2,2343,590,80,22,79,11,2552,633,82,26
"22",1907,"CIN","NL",81,3,2491,612,62,48,75,12,2485,615,64,42
"23",1907,"CLE","AL",82,6,2576,637,100,32,76,5,2499,588,90,40
"24",1907,"DET","AL",79,3,2630,759,86,50,74,8,2573,627,96,25
"25",1907,"NY1","NL",77,19,2349,636,82,21,78,4,2529,586,78,27
"26",1907,"NYA","AL",75,10,2474,651,82,42,77,5,2578,613,68,28
"27",1907,"PHA","AL",73,14,2399,675,142,20,77,8,2606,606,80,24
"28",1907,"PHI","NL",75,2,2331,566,104,33,74,10,2394,548,58,32
"29",1907,"PIT","NL",77,7,2399,664,72,45,80,12,2559,597,61,33
"30",1907,"SLA","AL",76,6,2529,659,88,23,79,4,2687,669,68,40
"31",1907,"SLN","NL",79,8,2477,580,60,31,76,10,2530,583,61,21
"32",1907,"WS1","AL",75,2,2429,578,63,32,79,10,2681,665,73,26
"33",1908,"BOS","AL",77,9,2452,624,50,48,78,5,2599,622,67,41
"34",1908,"BRO","NL",77,16,2354,510,51,30,77,12,2538,534,59,30
"35",1908,"BSN","NL",78,13,2566,653,72,11,78,4,2574,575,65,32
"36",1908,"CHA","AL",78,1,2406,536,77,14,78,2,2625,595,68,27
"37",1908,"CHN","NL",78,9,2430,596,105,32,80,10,2653,672,91,24
"38",1908,"CIN","NL",77,8,2397,568,68,49,78,6,2483,540,61,28
"39",1908,"CLE","AL",78,8,2478,624,98,31,79,10,2637,599,90,27
"40",1908,"DET","AL",78,6,2507,655,90,36,76,13,2612,694,109,50
"41",1908,"NY1","NL",80,10,2504,728,111,20,77,10,2506,613,71,23
"42",1908,"NYA","AL",77,11,2485,596,81,21,78,2,2599,596,61,29
"43",1908,"PHA","AL",78,11,2468,606,115,23,79,10,2600,527,68,28
"44",1908,"PHI","NL",78,0,2474,600,95,34,77,11,2539,623,99,34
"45",1908,"PIT","NL",77,12,2410,567,68,47,78,13,2700,696,94,51
"46",1908,"SLA","AL",78,12,2557,631,101,22,77,8,2598,633,71,31
"47",1908,"SLN","NL",77,9,2456,560,63,36,77,8,2508,546,71,21
"48",1908,"WS1","AL",78,2,2471,578,55,48,77,6,2571,605,76,26
"49",1909,"BOS","AL",75,18,2395,677,78,30,77,2,2587,631,73,40
"50",1909,"BRO","NL",79,12,2523,584,86,34,76,4,2539,572,90,25
"51",1909,"BSN","NL",76,10,2454,557,71,18,79,4,2571,575,60,28
"52",1909,"CHA","AL",81,1,2475,546,81,22,78,3,2535,564,65,34
"53",1909,"CHN","NL",77,8,2393,561,96,24,78,12,2604,668,107,36
"54",1909,"CIN","NL",80,5,2534,621,73,40,77,17,2558,652,86,32
"55",1909,"CLE","AL",77,2,2499,645,89,47,78,8,2536,569,85,31
"56",1909,"DET","AL",78,12,2492,717,110,33,80,7,2610,638,97,25
"57",1909,"NY1","NL",77,19,2414,625,89,42,81,7,2808,702,84,26
"58",1909,"NYA","AL",77,11,2457,655,85,33,76,5,2530,584,58,29
"59",1909,"PHA","AL",76,9,2379,623,97,51,77,12,2534,632,89,37
"60",1909,"PHI","NL",77,6,2495,622,106,18,77,6,2533,605,80,34
"61",1909,"PIT","NL",79,10,2539,681,107,57,75,15,2578,651,111,35
"62",1909,"SLA","AL",79,4,2484,613,57,25,75,6,2484,543,61,20
"63",1909,"SLN","NL",76,9,2462,603,71,24,78,6,2646,639,75,32
"64",1909,"WS1","AL",77,5,2403,559,73,17,79,4,2574,551,76,24
"65",1910,"BOS","AL",80,32,2536,661,95,38,78,11,2672,684,84,47
"66",1910,"BRO","NL",80,9,2529,587,88,32,76,16,2597,587,78,41
"67",1910,"BSN","NL",78,25,2536,659,91,20,79,6,2586,601,82,29
"68",1910,"CHA","AL",79,2,2476,480,55,29,77,5,2557,579,61,29
"69",1910,"CHN","NL",77,18,2402,653,111,39,77,16,2573,680,109,45
"70",1910,"CIN","NL",77,6,2499,704,71,54,79,17,2623,622,79,25
"71",1910,"CLE","AL",80,4,2623,693,105,34,81,5,2778,625,87,31
"72",1910,"DET","AL",78,18,2443,650,87,33,77,10,2609,668,102,42
"73",1910,"NY1","NL",79,20,2474,715,105,39,76,11,2596,676,99,44
"74",1910,"NYA","AL",77,13,2475,649,86,49,79,7,2581,603,79,27
"75",1910,"PHA","AL",78,9,2516,693,91,71,77,10,2637,681,105,35
"76",1910,"PHI","NL",78,12,2497,638,113,25,79,10,2672,681,110,46
"77",1910,"PIT","NL",76,17,2499,716,126,48,78,16,2623,648,88,35
"78",1910,"SLA","AL",79,4,2541,546,76,35,79,8,2535,558,58,26
"79",1910,"SLN","NL",76,3,2389,602,79,42,77,12,2516,615,88,28
"80",1910,"WS1","AL",77,2,2426,622,80,23,80,7,2590,552,69,24
"81",1911,"BOS","AL",76,20,2420,663,105,33,77,15,2591,718,101,33
"82",1911,"BRO","NL",74,10,2382,547,69,33,80,18,2677,651,82,38
"83",1911,"BSN","NL",75,28,2598,702,131,18,81,9,2709,714,121,36
"84",1911,"CHA","AL",78,8,2562,686,85,54,76,12,2638,714,95,38
"85",1911,"CHN","NL",84,26,2673,680,122,44,73,28,2452,659,98,59
"86",1911,"CIN","NL",82,5,2617,686,69,60,77,16,2672,692,112,45
"87",1911,"CLE","AL",77,7,2579,773,123,41,79,13,2753,729,117,41
"88",1911,"DET","AL",76,21,2561,781,110,59,78,9,2733,764,120,39
"89",1911,"NY1","NL",75,25,2337,654,99,49,79,16,2672,743,127,53
"90",1911,"NYA","AL",77,14,2498,686,97,56,76,11,2562,687,91,45
"91",1911,"PHA","AL",75,11,2493,740,111,47,77,24,2717,801,128,48
"92",1911,"PHI","NL",76,48,2468,660,112,32,77,12,2577,646,103,24
"93",1911,"PIT","NL",78,29,2496,692,91,65,77,20,2642,653,115,41
"94",1911,"SLA","AL",78,9,2548,615,96,27,74,8,2463,576,93,36
"95",1911,"SLN","NL",79,11,2512,652,97,42,79,15,2615,644,102,44
"96",1911,"WS1","AL",77,11,2496,673,90,35,77,5,2568,636,74,21
"97",1912,"BOS","AL",78,10,2502,698,146,42,76,19,2568,706,123,42
"98",1912,"BRO","NL",76,17,2447,656,101,35,77,15,2692,721,119,38
"99",1912,"BSN","NL",79,22,2768,817,127,27,76,13,2590,648,100,41
