,Nickname,Stadium,CF_Dim,CF_change,Change_Year,Prev_Year,Change_Year_HR_per_AB,Change_Year_Doubles_per_AB,Change_Year_Triples_per_AB,Prev_Year_HR_per_AB,Prev_Year_Doubles_per_AB,Prev_Year_Triples_per_AB
1,Angels,Dodger Stadium,410,-2,1962,1961,0.018084154,0.043688451,0.007520143,0.044034091,0.042080966,0.004083807
2,Angels,Anaheim Stadium,406,-4,1966,1965,0.022120658,0.031261426,0.009689214,0.013408876,0.033994334,0.005665722
3,Angels,Anaheim Stadium,402,-4,1973,1972,0.016565433,0.030922142,0.00515369,0.011588146,0.02906535,0.003799392
4,Angels,Edison International Field of Anaheim,400,-8,1999,1998,0.032557294,0.048926883,0.004183339,0.025492678,0.054601338,0.005243175
5,Astros,Astrodome,406,-44,1965,1964,0.010380623,0.040247678,0.011109088,0.013776184,0.029816947,0.009624457
6,Astros,Astrodome,400,-6,1972,1971,0.021300448,0.044656203,0.005605381,0.00833179,0.038511387,0.009998148
7,Astros,Astrodome,400,-6,1985,1984,0.016860987,0.04735426,0.005919283,0.008543901,0.038356662,0.012724959
8,Astros,Minute Maid Park,409,-27,2017,2016,0.040458015,0.052480916,0.003053435,0.030432461,0.051076704,0.006762769
9,Athletics,Municipal Stadium,430,-51,1955,1954,0.034084454,0.040522628,0.010604052,0.024594852,0.04709247,0.010676835
10,Athletics,Municipal Stadium,421,-9,1956,1955,0.032771536,0.0417603,0.0082397,0.034084454,0.040522628,0.010604052
11,Athletics,Municipal Stadium,410,-11,1964,1963,0.042648108,0.038008565,0.004639543,0.025245187,0.039048311,0.009262623
12,Athletics,Oakland-Alameda County Coliseum,410,-11,1968,1967,0.017216643,0.036047346,0.006456241,0.01054384,0.04495006,0.012578616
13,Athletics,Oakland-Alameda County Coliseum,396,-14,1981,1980,0.02689295,0.027415144,0.004699739,0.021379439,0.031604387,0.004833612
14,Blue Jays,SkyDome,400,-10,1989,1988,0.022623216,0.047401023,0.008349044,0.027325371,0.046145494,0.008505248
